"","Q1","Q2","Q3","Q4","Q5","Province"
"82","1","ndp","Right","2","Other","Ontario"
"83","1","BlocQbc","Right","2","BlocQbc","Quebec"
"84","1","Conservative","Unsure","5","Conservative","Quebec"
"85","1","PreferNot","Wrong","2","Conservative","Ontario"
"86","0",NA,"Wrong","5",NA,"Alberta"
"87","0",NA,"Right","3",NA,"Ontario"
"88","1","Liberal","Right","5","Liberal","Quebec"
"89","1","Conservative","Standstill","2","Conservative","Ontario"
"90","1","Liberal","Unsure","3","Conservative","Alberta"
"91","1","Liberal","Standstill","4","BlocQbc","Ontario"
"92","1","Conservative","Standstill","2","Liberal","Ontario"
"93","1","BlocQbc","Standstill","2","Liberal","British Columbia"
"94","1","Liberal","Wrong","4","Liberal","Alberta"
"95","1","Conservative","Right","5","Liberal","Alberta"
"96","1","Conservative","Wrong","3","Liberal","British Columbia"
"97","1","Liberal","Standstill","3","BlocQbc","Quebec"
"98","1","Green","Wrong","2","Liberal","British Columbia"
"99","1","Liberal","Right","2","Conservative","Manitoba"
"100","1","Liberal","Standstill","4","Conservative","British Columbia"
"101","1","Liberal","Wrong","2","Conservative","Quebec"
"102","1","Liberal","Right","4","Conservative","Alberta"
"103","1","Liberal","Right","3","Conservative","Quebec"
"104","1","Liberal","Wrong","2","Conservative","Ontario"
"105","1","Liberal","Right","3","Conservative","Ontario"
"106","1","ndp","Wrong","5","Conservative","Ontario"
"107","1","Conservative","Wrong","2","Liberal","Ontario"
"108","1","Conservative","Wrong","3","BlocQbc","Ontario"
"109","0",NA,"Right","4",NA,"Ontario"
"110","1","Liberal","Unsure","1","Conservative","Ontario"
"111","1","Conservative","Wrong","3","Liberal","Alberta"
"112","1","ndp","Unsure","4","Liberal","Quebec"
"113","1","BlocQbc","Right","4","Conservative","British Columbia"
"114","1","Green","Right","3","Conservative","Quebec"
"115","1","Conservative","Unsure","2","Liberal","British Columbia"
"116","1","Liberal","Standstill","3","Conservative","Ontario"
"117","1","BlocQbc","Right","4","Liberal","Quebec"
"118","1","Liberal","Right","1","BlocQbc","Northwest Territories"
"119","1","Conservative","Standstill","5","Conservative","Alberta"
"120","0",NA,"Standstill","5",NA,"Alberta"
"121","1","BlocQbc","Unsure","4","Conservative","Ontario"
"122","1","Conservative","Right","3","BlocQbc","Quebec"
"123","1","Liberal","Wrong","2","Liberal","Ontario"
"124","1","Conservative","Standstill","4","Conservative","Quebec"
"125","0",NA,"Right","4",NA,"British Columbia"
"126","1","ndp","Standstill","3","ndp","Quebec"
"127","1","Liberal","Wrong","1","Conservative","Ontario"
"128","1","Liberal","Right","1","Liberal","Saskatchewan"
"129","1","Conservative","Standstill","3","Liberal","Quebec"
"130","1","Conservative","Unsure","4","Conservative","Ontario"
"131","1","Green","Wrong","4","Liberal","Quebec"
"132","1","Conservative","Right","2","Conservative","Alberta"
"133","1","Liberal","Right","2","Conservative","Ontario"
"134","1","Liberal","Right","4","Liberal","British Columbia"
"135","1","ndp","Standstill","5","Liberal","Alberta"
"136","1","Liberal","Wrong","3","Liberal","British Columbia"
"137","1","Green","Unsure","2","Liberal","Quebec"
"138","1","Liberal","Unsure","2","Other","Ontario"
"139","1","Conservative","Wrong","3","Green","Ontario"
"140","1","Liberal","Right","1","Conservative","Ontario"
"141","1","Green","Standstill","4","Conservative","Ontario"
"142","1","Liberal","Right","3","Liberal","Alberta"
"143","1","BlocQbc","Standstill","3","ndp","Ontario"
"144","1","Liberal","Wrong","2","BlocQbc","Ontario"
"145","1","Conservative","Wrong","3","Liberal","Quebec"
"146","1","Liberal","Right","5","Conservative","Quebec"
"147","1","Green","Standstill","5","Liberal","Ontario"
"148","1","Conservative","Right","5","Liberal","Ontario"
"149","0",NA,"Wrong","3",NA,"Saskatchewan"
"150","1","Liberal","Right","4","Liberal","Nova Scotia"
"151","1","PreferNot","Standstill","2","BlocQbc","Quebec"
"152","1","Conservative","Wrong","4","Conservative","Ontario"
"153","1","Conservative","Wrong","3","Conservative","Ontario"
"154","1","Conservative","Standstill","4","Green","Quebec"
"155","1","Conservative","Wrong","2","Conservative","Ontario"
"156","1","BlocQbc","Standstill","5","Conservative","New Brunswick"
"157","0",NA,"Right","3",NA,"Ontario"
"158","1","Liberal","Wrong","1","Liberal","Ontario"
"159","0",NA,"Unsure","2",NA,"Ontario"
"160","1","Liberal","Right","3","Liberal","Newfoundland and Labrador"
"161","1","BlocQbc","Right","2","Conservative","Ontario"
"162","1","Conservative","Right","1","BlocQbc","Ontario"
"163","1","Conservative","Right","2","Liberal","Ontario"
"164","0",NA,"Right","5",NA,"Ontario"
"165","1","Conservative","Right","2","Liberal","Quebec"
"166","1","BlocQbc","Right","1","ndp","Quebec"
"167","1","Liberal","Right","5","Conservative","Quebec"
"168","1","Conservative","Standstill","2","ndp","British Columbia"
"169","1","Conservative","Wrong","3","Conservative","Ontario"
"170","1","Conservative","Wrong","5","Conservative","Manitoba"
"171","1","Liberal","Right","5","Conservative","Quebec"
"172","1","Conservative","Wrong","1","Liberal","Ontario"
"173","1","Liberal","Standstill","5","BlocQbc","Quebec"
"174","1","Conservative","Unsure","5","BlocQbc","British Columbia"
"175","1","Conservative","Right","1","Conservative","Alberta"
"176","1","BlocQbc","Right","4","BlocQbc","Ontario"
"177","1","Conservative","Wrong","2","Liberal","Ontario"
"178","1","Liberal","Unsure","4","Liberal","New Brunswick"
"179","1","BlocQbc","Standstill","2","Conservative","Ontario"
"180","1","Liberal","Standstill","3","Liberal","Alberta"
"181","1","Conservative","Wrong","2","Liberal","Quebec"
"182","1","Liberal","Wrong","3","Conservative","Quebec"
"183","1","PreferNot","Unsure","4","Liberal","Quebec"
"184","1","Liberal","Wrong","5","Conservative","Quebec"
"185","1","Liberal","Right","4","Conservative","Ontario"
"186","1","Liberal","Standstill","2","Liberal","Quebec"
"187","1","Liberal","Standstill","3","Conservative","Newfoundland and Labrador"
"188","0",NA,"Right","1",NA,"Ontario"
"189","1","Conservative","Wrong","3","Conservative","Ontario"
"190","1","Liberal","Wrong","3","Conservative","Ontario"
"191","1","Liberal","Wrong","4","Liberal","Ontario"
"192","1","Conservative","Unsure","2","BlocQbc","Quebec"
"193","1","Liberal","Standstill","4","Liberal","Quebec"
"194","1","Conservative","Wrong","1","Conservative","Ontario"
"195","1","Liberal","Standstill","3","Liberal","Quebec"
"196","1","Liberal","Wrong","2","Liberal","Ontario"
"197","1","Conservative","Wrong","4","Conservative","Ontario"
"198","0",NA,"Standstill","1",NA,"Saskatchewan"
"199","1","ndp","Wrong","2","Liberal","British Columbia"
"200","1","ndp","Wrong","3","Green","British Columbia"
"201","1","Liberal","Standstill","2","Conservative","Alberta"
"202","1","BlocQbc","Wrong","2","Liberal","Ontario"
"203","1","Liberal","Wrong","5","Liberal","Ontario"
"204","1","Conservative","Unsure","4","Conservative","Quebec"
"205","0",NA,"Unsure","1",NA,"Ontario"
"206","1","Conservative","Right","2","Conservative","Manitoba"
"207","1","Liberal","Wrong","4","Liberal","Ontario"
"208","1","Conservative","Wrong","1","Conservative","Quebec"
"209","1","Liberal","Right","2","Conservative","British Columbia"
"210","1","Conservative","Wrong","2","Liberal","Ontario"
"211","1","Liberal","Right","1","Conservative","Quebec"
"212","1","Liberal","Right","2","Liberal","Quebec"
"213","1","Conservative","Unsure","5","Liberal","British Columbia"
"214","1","Liberal","Right","3","Conservative","Ontario"
"215","1","Conservative","Right","4","Conservative","Quebec"
"216","1","Conservative","Standstill","1","Conservative","Quebec"
"217","1","Liberal","Right","5","Conservative","British Columbia"
"218","1","Liberal","Standstill","4","Liberal","British Columbia"
"219","1","BlocQbc","Right","3","Liberal","Ontario"
"220","1","BlocQbc","Wrong","3","Conservative","Quebec"
"221","1","Liberal","Standstill","2","BlocQbc","Quebec"
"222","1","Conservative","Right","2","Liberal","Ontario"
"223","1","Conservative","Wrong","3","Liberal","Ontario"
"224","1","Liberal","Wrong","2","Conservative","Newfoundland and Labrador"
"225","1","Conservative","Unsure","4","Liberal","Ontario"
"226","1","BlocQbc","Unsure","4","Conservative","Ontario"
"227","1","Liberal","Right","1","Liberal","Manitoba"
"228","1","Liberal","Standstill","4","BlocQbc","Ontario"
"229","1","Liberal","Right","3","Liberal","Alberta"
"230","1","Green","Standstill","1","Liberal","Ontario"
"231","1","Conservative","Wrong","3","Liberal","Saskatchewan"
"232","1","Liberal","Right","4","Liberal","Ontario"
"233","1","Conservative","Right","5","Green","Ontario"
"234","0",NA,"Wrong","3",NA,"Alberta"
"235","0",NA,"Wrong","5",NA,"Ontario"
"236","1","Conservative","Standstill","3","Conservative","Ontario"
"237","0",NA,"Standstill","5",NA,"British Columbia"
"238","1","Conservative","Wrong","1","Green","Quebec"
"239","1","Conservative","Wrong","4","Liberal","Ontario"
"240","1","BlocQbc","Right","2","Liberal","Quebec"
"241","1","Liberal","Right","3","Liberal","British Columbia"
"242","1","BlocQbc","Right","5","ndp","Ontario"
"243","1","Liberal","Standstill","4","Green","Ontario"
"244","1","Conservative","Right","2","Conservative","Ontario"
"245","0",NA,"Unsure","4",NA,"Ontario"
"246","1","Conservative","Right","3","Liberal","Alberta"
"247","0",NA,"Wrong","1",NA,"Quebec"
"248","1","Conservative","Standstill","2","Liberal","British Columbia"
"249","1","Liberal","Right","1","Conservative","Manitoba"
"250","1","Conservative","Wrong","3","BlocQbc","Ontario"
"251","1","Liberal","Right","4","Conservative","Ontario"
"252","0",NA,"Wrong","3",NA,"Ontario"
"253","1","Conservative","Wrong","5","BlocQbc","Ontario"
"254","1","Conservative","Right","4","Liberal","Quebec"
"255","1","Conservative","Standstill","2","Conservative","British Columbia"
"256","1","ndp","Right","4","ndp","Quebec"
"257","1","Conservative","Wrong","1","Conservative","Alberta"
"258","1","Liberal","Right","3","Liberal","Quebec"
"259","1","Conservative","Right","4","Liberal","Quebec"
"260","1","Liberal","Standstill","2","Liberal","Ontario"
"261","1","Green","Wrong","3","Conservative","Ontario"
"262","0",NA,"Wrong","2",NA,"Quebec"
"263","1","Liberal","Wrong","3","Conservative","British Columbia"
"264","1","BlocQbc","Wrong","4","Conservative","Quebec"
"265","0",NA,"Wrong","3",NA,"Ontario"
"266","1","Conservative","Wrong","5","Liberal","Nova Scotia"
"267","1","Conservative","Right","4","Conservative","Ontario"
"268","1","Conservative","Wrong","5","Liberal","Newfoundland and Labrador"
"269","1","Conservative","Wrong","2","Liberal","Ontario"
"270","1","Conservative","Wrong","2","Liberal","Ontario"
"271","1","Liberal","Right","1","Liberal","Ontario"
"272","0",NA,"Right","4",NA,"Quebec"
"273","1","Conservative","Right","5","Conservative","Ontario"
"274","1","Liberal","Right","5","ndp","Ontario"
"275","1","Conservative","Standstill","4","Conservative","Quebec"
"276","1","Liberal","Wrong","3","Green","Quebec"
"277","1","Conservative","Wrong","5","Liberal","Ontario"
"278","1","Liberal","Right","5","Conservative","Quebec"
"279","1","Liberal","Right","5","Conservative","Ontario"
"280","1","Liberal","Standstill","4","Conservative","Nova Scotia"
"281","1","ndp","Wrong","1","Liberal","Quebec"
"282","1","Liberal","Standstill","4","Conservative","Ontario"
"283","1","ndp","Wrong","3","Conservative","Ontario"
"284","1","Liberal","Right","2","Conservative","Alberta"
"285","1","Conservative","Right","1","Liberal","Ontario"
"286","1","Liberal","Right","4","Liberal","Alberta"
"287","1","Liberal","Unsure","4","Conservative","Manitoba"
"288","1","ndp","Standstill","1","Liberal","British Columbia"
"289","1","Conservative","Wrong","2","Liberal","Ontario"
"290","1","Conservative","Standstill","2","Liberal","Ontario"
"291","0",NA,"Standstill","5",NA,"Alberta"
"292","1","Liberal","Right","4","Liberal","Quebec"
"293","1","Liberal","Right","2","Conservative","Ontario"
"294","0",NA,"Unsure","2",NA,"Ontario"
"295","1","Liberal","Wrong","4","BlocQbc","New Brunswick"
"296","1","Liberal","Right","2","Liberal","Ontario"
"297","1","Conservative","Standstill","1","Conservative","Ontario"
"298","1","Green","Wrong","2","Liberal","Alberta"
"299","1","Liberal","Right","3","Liberal","Ontario"
"300","1","Conservative","Right","2","Conservative","Alberta"
"301","1","Liberal","Right","4","BlocQbc","Quebec"
"302","1","BlocQbc","Standstill","1","Liberal","Ontario"
"303","1","Liberal","Wrong","4","Liberal","Quebec"
"304","1","Conservative","Wrong","2","Liberal","Saskatchewan"
"305","1","ndp","Standstill","4","Conservative","Quebec"
"306","1","PreferNot","Wrong","2","Conservative","Prince Edward Island"
"307","1","Conservative","Wrong","4","Liberal","Ontario"
"308","1","Conservative","Wrong","3","Liberal","Quebec"
"309","0",NA,"Standstill","4",NA,"British Columbia"
"310","1","Liberal","Standstill","5","Conservative","Alberta"
"311","1","PreferNot","Right","1","Liberal","Ontario"
"312","1","Conservative","Standstill","1","Liberal","Ontario"
"313","1","Liberal","Wrong","4","Liberal","Ontario"
"314","1","Conservative","Right","2","Liberal","British Columbia"
"315","1","Liberal","Wrong","2","ndp","Quebec"
"316","1","Conservative","Standstill","2","Conservative","Quebec"
"317","1","Conservative","Standstill","1","Conservative","Quebec"
"318","0",NA,"Right","4",NA,"Manitoba"
"319","1","Conservative","Wrong","4","Conservative","Nova Scotia"
"320","0",NA,"Right","1",NA,"Ontario"
"321","1","PreferNot","Wrong","2","Liberal","Quebec"
"322","1","Liberal","Wrong","3","BlocQbc","Ontario"
"323","1","Conservative","Unsure","3","BlocQbc","Quebec"
"324","1","Liberal","Wrong","1","Liberal","Saskatchewan"
"325","1","Conservative","Wrong","4","Conservative","British Columbia"
"326","1","Liberal","Wrong","5","Liberal","Quebec"
"327","1","BlocQbc","Right","3","BlocQbc","British Columbia"
"328","1","BlocQbc","Right","2","Conservative","British Columbia"
"329","1","Liberal","Right","4","Conservative","Ontario"
"330","1","BlocQbc","Wrong","5","Conservative","Quebec"
"331","1","Liberal","Right","5","Liberal","Quebec"
"332","1","Liberal","Standstill","5","Conservative","Ontario"
"333","1","Liberal","Wrong","5","Conservative","Quebec"
"334","1","Liberal","Right","3","Conservative","British Columbia"
"335","1","Conservative","Standstill","4","Conservative","Ontario"
"336","1","Liberal","Unsure","1","BlocQbc","Quebec"
"337","1","Conservative","Standstill","1","Conservative","Nova Scotia"
"338","1","Liberal","Unsure","4","Liberal","British Columbia"
"339","1","Liberal","Wrong","5","Conservative","Manitoba"
"340","1","Liberal","Right","2","Conservative","New Brunswick"
"341","1","Liberal","Right","3","Liberal","Quebec"
"342","1","Liberal","Standstill","4","ndp","Ontario"
"343","1","Conservative","Wrong","4","BlocQbc","Ontario"
"344","1","Liberal","Right","3","Conservative","Quebec"
"345","1","Conservative","Standstill","4","Liberal","Ontario"
"346","1","Conservative","Wrong","4","Conservative","Ontario"
"347","1","Conservative","Unsure","4","Liberal","Alberta"
"348","1","Conservative","Right","4","Green","Manitoba"
"349","1","Conservative","Wrong","1","BlocQbc","Ontario"
"350","1","Liberal","Unsure","3","Liberal","Ontario"
"351","1","Liberal","Unsure","3","Green","Alberta"
"352","1","Conservative","Right","5","Liberal","Ontario"
"353","1","Liberal","Standstill","5","Conservative","Ontario"
"354","1","Liberal","Right","2","Liberal","Quebec"
"355","0",NA,"Standstill","4",NA,"Quebec"
"356","1","ndp","Right","1","Liberal","Ontario"
"357","1","Liberal","Right","3","Conservative","Alberta"
"358","1","Conservative","Wrong","4","Conservative","Ontario"
"359","1","ndp","Standstill","4","Liberal","Manitoba"
"360","1","ndp","Wrong","4","Conservative","British Columbia"
"361","1","Liberal","Right","4","ndp","British Columbia"
"362","1","Liberal","Right","5","Conservative","Quebec"
"363","1","Conservative","Standstill","2","Conservative","British Columbia"
"364","1","Conservative","Right","2","Conservative","Ontario"
"365","1","Conservative","Unsure","5","Conservative","Nova Scotia"
"366","1","Liberal","Wrong","4","Liberal","Alberta"
"367","1","Liberal","Wrong","4","Liberal","Alberta"
"368","1","Conservative","Right","4","BlocQbc","Ontario"
"369","1","Liberal","Wrong","1","Conservative","Alberta"
"370","1","Conservative","Right","4","Liberal","Ontario"
"371","1","Liberal","Wrong","1","Liberal","Alberta"
"372","1","Liberal","Wrong","3","Conservative","Ontario"
"373","1","Liberal","Right","2","BlocQbc","Alberta"
"374","1","Liberal","Wrong","1","Conservative","British Columbia"
"375","1","Liberal","Wrong","2","Conservative","Quebec"
"376","1","Conservative","Unsure","2","Conservative","Alberta"
"377","1","Liberal","Right","5","Liberal","Ontario"
"378","1","Conservative","Right","4","Liberal","Ontario"
"379","1","BlocQbc","Right","2","Liberal","Alberta"
"380","0",NA,"Standstill","4",NA,"Manitoba"
"381","0",NA,"Wrong","1",NA,"British Columbia"
"382","1","ndp","Wrong","4","Conservative","Quebec"
"383","1","Conservative","Unsure","2","Liberal","British Columbia"
"384","1","Liberal","Wrong","5","Liberal","Ontario"
"385","1","Conservative","Standstill","4","BlocQbc","Ontario"
"386","1","Liberal","Right","1","Liberal","British Columbia"
"387","1","Liberal","Wrong","5","Liberal","Ontario"
"388","1","Conservative","Standstill","4","Other","British Columbia"
"389","1","Conservative","Right","4","Other","Quebec"
"390","1","Conservative","Wrong","2","Liberal","New Brunswick"
"391","1","Liberal","Wrong","2","Conservative","British Columbia"
"392","1","BlocQbc","Right","4","Liberal","Ontario"
"393","1","Liberal","Wrong","4","Conservative","Quebec"
"394","1","BlocQbc","Standstill","5","Conservative","British Columbia"
"395","1","Conservative","Right","3","Liberal","Ontario"
"396","1","Conservative","Right","3","Conservative","Alberta"
"397","1","Conservative","Wrong","4","Liberal","Ontario"
"398","0",NA,"Right","1",NA,"Ontario"
"399","1","ndp","Standstill","4","Liberal","British Columbia"
"400","1","Liberal","Right","4","Liberal","Quebec"
"401","0",NA,"Right","3",NA,"Ontario"
"402","1","Conservative","Right","1","Liberal","Ontario"
"403","1","Conservative","Right","3","Conservative","Saskatchewan"
"404","1","PreferNot","Wrong","4","Liberal","Ontario"
"405","1","Liberal","Right","4","Liberal","Manitoba"
"406","1","Conservative","Right","1","Conservative","Alberta"
"407","1","Conservative","Standstill","5","Liberal","Ontario"
"408","1","Liberal","Right","5","Conservative","Quebec"
"409","1","Liberal","Wrong","2","Conservative","Alberta"
"410","1","BlocQbc","Wrong","1","Liberal","Ontario"
"411","1","Conservative","Wrong","4","Liberal","Alberta"
"412","1","Conservative","Standstill","5","Liberal","Ontario"
"413","1","Liberal","Standstill","3","ndp","Ontario"
"414","1","Liberal","Right","4","Liberal","Ontario"
"415","1","Liberal","Wrong","4","Liberal","Ontario"
"416","1","Liberal","Right","5","Conservative","Alberta"
"417","1","Liberal","Standstill","4","ndp","Ontario"
"418","1","Liberal","Standstill","1","BlocQbc","Ontario"
"419","1","Conservative","Wrong","2","Liberal","Ontario"
"420","1","Conservative","Wrong","5","Conservative","Quebec"
"421","1","Liberal","Right","2","Liberal","British Columbia"
"422","1","Liberal","Right","5","Conservative","Alberta"
"423","1","Conservative","Standstill","2","ndp","Saskatchewan"
"424","0",NA,"Unsure","4",NA,"Manitoba"
"425","1","Green","Standstill","4","Liberal","Ontario"
"426","1","Liberal","Wrong","5","Conservative","Ontario"
"427","1","Conservative","Standstill","2","Liberal","Alberta"
"428","1","Conservative","Right","4","ndp","Ontario"
"429","1","Green","Wrong","3","Conservative","Ontario"
"430","1","Liberal","Wrong","5","ndp","British Columbia"
"431","1","Conservative","Wrong","2","Conservative","Ontario"
"432","1","Liberal","Right","2","ndp","Ontario"
"433","1","Liberal","Wrong","3","Liberal","Ontario"
"434","1","Liberal","Unsure","1","Conservative","Ontario"
"435","1","Liberal","Standstill","4","Conservative","Ontario"
"436","0",NA,"Right","4",NA,"Ontario"
"437","1","Liberal","Wrong","2","Liberal","New Brunswick"
"438","1","Liberal","Right","4","ndp","Quebec"
"439","0",NA,"Right","4",NA,"Quebec"
"440","1","Liberal","Wrong","4","Liberal","Ontario"
"441","1","Conservative","Standstill","3","Liberal","Ontario"
"442","1","Conservative","Standstill","1","Liberal","Ontario"
"443","1","Conservative","Wrong","4","ndp","Prince Edward Island"
"444","1","PreferNot","Wrong","5","Conservative","Ontario"
"445","1","Liberal","Right","5","ndp","Ontario"
"446","1","Liberal","Standstill","4","Conservative","Saskatchewan"
"447","1","ndp","Wrong","3","Liberal","Quebec"
"448","1","Conservative","Standstill","2","ndp","Manitoba"
"449","1","Liberal","Right","4","Conservative","Alberta"
"450","1","Conservative","Wrong","3","Conservative","Quebec"
"451","1","Liberal","Right","2","Liberal","New Brunswick"
"452","1","Liberal","Standstill","3","Conservative","Ontario"
"453","1","BlocQbc","Wrong","2","Conservative","Ontario"
"454","1","Conservative","Standstill","3","BlocQbc","British Columbia"
"455","1","Liberal","Wrong","5","Conservative","Ontario"
"456","1","Conservative","Wrong","2","Conservative","Alberta"
"457","1","Conservative","Right","2","Conservative","Ontario"
"458","1","Liberal","Standstill","2","Liberal","British Columbia"
"459","1","Conservative","Right","2","Conservative","Quebec"
"460","1","Conservative","Right","3","Conservative","Ontario"
"461","1","Liberal","Standstill","3","Liberal","Ontario"
"462","1","Conservative","Standstill","1","Liberal","British Columbia"
"463","1","Liberal","Right","1","Conservative","Quebec"
"464","1","Conservative","Right","2","Conservative","Quebec"
"465","1","Liberal","Unsure","4","Liberal","Ontario"
"466","1","Conservative","Wrong","3","BlocQbc","Alberta"
"467","1","Conservative","Right","1","Liberal","Ontario"
"468","1","Liberal","Right","1","BlocQbc","Quebec"
"469","1","Conservative","Right","4","ndp","Quebec"
"470","0",NA,"Standstill","4",NA,"British Columbia"
"471","1","Conservative","Standstill","2","ndp","Quebec"
"472","1","Conservative","Right","3","Liberal","British Columbia"
"473","1","Conservative","Right","4","BlocQbc","Quebec"
"474","1","Conservative","Wrong","4","Liberal","Manitoba"
"475","1","Liberal","Wrong","1","Conservative","Manitoba"
"476","1","Liberal","Wrong","3","Liberal","Quebec"
"477","1","BlocQbc","Right","4","ndp","British Columbia"
"478","1","Conservative","Right","5","Liberal","Quebec"
"479","0",NA,"Right","5",NA,"Ontario"
"480","1","Conservative","Right","3","Conservative","Alberta"
"481","0",NA,"Wrong","5",NA,"British Columbia"
"482","1","Conservative","Standstill","2","Other","Quebec"
"483","1","BlocQbc","Standstill","2","Conservative","Ontario"
"484","1","Liberal","Wrong","5","Conservative","Ontario"
"485","1","ndp","Right","3","Liberal","Quebec"
"486","0",NA,"Wrong","5",NA,"Alberta"
"487","1","Conservative","Standstill","1","Liberal","British Columbia"
"488","1","Conservative","Wrong","2","ndp","Quebec"
"489","1","Liberal","Unsure","5","Conservative","Ontario"
"490","0",NA,"Standstill","3",NA,"Ontario"
"491","1","Liberal","Unsure","1","ndp","Alberta"
"492","1","Liberal","Right","4","Liberal","Ontario"
"493","1","Liberal","Right","5","Conservative","Manitoba"
"494","0",NA,"Standstill","2",NA,"Ontario"
"495","1","ndp","Right","4","Conservative","British Columbia"
"496","1","Conservative","Wrong","4","ndp","Ontario"
"497","1","BlocQbc","Right","4","Liberal","New Brunswick"
"498","1","Conservative","Wrong","4","Liberal","New Brunswick"
"499","1","Liberal","Right","1","BlocQbc","Ontario"
"500","1","Green","Right","1","Conservative","Prince Edward Island"
"501","1","Green","Standstill","3","BlocQbc","Nova Scotia"
"502","1","Liberal","Right","2","Liberal","Ontario"
"503","1","Liberal","Standstill","3","Liberal","British Columbia"
"504","1","BlocQbc","Wrong","4","Conservative","Quebec"
